Date,Value,labels
09-01-79,0.09408600000000000,8/31/79 10:00
10-01-79,0.09042600000000001,9/30/79 10:00
11-01-79,0.08971000000000000,10/31/79 10:00
12-01-79,0.09473700000000000,11/30/79 10:00
01-01-80,0.09424100000000001,12/31/79 10:00
02-01-80,0.08527100000000000,1/31/80 10:00
03-01-80,0.08439900000000000,2/29/80 10:00
04-01-80,0.08629400000000000,3/31/80 10:00
05-01-80,0.0906800000000000,4/30/80 10:00
06-01-80,0.09774400000000000,5/31/80 10:00
07-01-80,0.0967740000000000,6/30/80 10:00
08-01-80,0.10148500000000001,7/31/80 10:00
09-01-80,0.10565099999999999,8/31/80 10:00
10-01-80,0.11463400000000000,9/30/80 10:00
11-01-80,0.12590799999999999,10/31/80 10:00
12-01-80,0.12259600000000000,11/30/80 10:00
01-01-81,0.1291870000000000,12/31/80 10:00
02-01-81,0.1357140000000000,1/31/81 10:00
03-01-81,0.13443400000000000,2/28/81 10:00
04-01-81,0.12850500000000001,3/31/81 10:00
05-01-81,0.13164000000000001,4/30/81 10:00
06-01-81,0.13470299999999999,5/31/81 10:00
07-01-81,0.13574700000000001,6/30/81 10:00
08-01-81,0.1393260000000000,7/31/81 10:00
09-01-81,0.13111100000000001,8/31/81 10:00
10-01-81,0.12472600000000000,9/30/81 10:00
11-01-81,0.11828000000000000,10/31/81 10:00
12-01-81,0.11991400000000001,11/30/81 10:00
01-01-82,0.11652500000000000,12/31/81 10:00
02-01-82,0.11949700000000001,1/31/82 10:00
03-01-82,0.12681899999999999,2/28/82 10:00
04-01-82,0.12836400000000001,3/31/82 10:00
05-01-82,0.12653100000000000,4/30/82 10:00
06-01-82,0.11871200000000000,5/31/82 10:00
07-01-82,0.11553800000000000,6/30/82 10:00
08-01-82,0.11045400000000000,7/31/82 10:00
09-01-82,0.11198400000000000,8/31/82 10:00
10-01-82,0.10700400000000000,9/30/82 10:00
11-01-82,0.09615400000000000,10/31/82 10:00
12-01-82,0.08604199999999999,11/30/82 10:00
01-01-83,0.07969600000000000,12/31/82 10:00
02-01-83,0.07116100000000000,1/31/83 10:00
03-01-83,0.06273100000000000,2/28/83 10:00
04-01-83,0.06605500000000000,3/31/83 10:00
05-01-83,0.057971000000000002,4/30/83 10:00
06-01-83,0.052158000000000003,5/31/83 10:00
07-01-83,0.04642900000000000,6/30/83 10:00
08-01-83,0.04085300000000000,7/31/83 10:00
09-01-83,0.03356900000000000,8/31/83 10:00
10-01-83,0.033391999999999998,9/30/83 10:00
11-01-83,0.03333300000000000,10/31/83 10:00
12-01-83,0.03697200000000000,11/30/83 10:00
01-01-84,0.040422000000000000,12/31/83 10:00
02-01-84,0.03671300000000000,1/31/84 10:00
03-01-84,0.029513999999999999,2/29/84 10:00
04-01-84,0.025818000000000001,3/31/84 10:00
05-01-84,0.018835999999999999,4/30/84 10:00
06-01-84,0.018803000000000000,5/31/84 10:00
07-01-84,0.027303999999999998,6/30/84 10:00
08-01-84,0.027303999999999998,7/31/84 10:00
09-01-84,0.02906000000000000,8/31/84 10:00
10-01-84,0.022109000000000000,9/30/84 10:00
11-01-84,0.022071000000000000,10/31/84 10:00
12-01-84,0.023768999999999998,11/30/84 10:00
01-01-85,0.02364900000000000,12/31/84 10:00
02-01-85,0.025295000000000002,1/31/85 10:00
03-01-85,0.02866800000000000,2/28/85 10:00
04-01-85,0.030200999999999999,3/31/85 10:00
05-01-85,0.031933000000000003,4/30/85 10:00
06-01-85,0.03691300000000000,5/31/85 10:00
07-01-85,0.02823900000000000,6/30/85 10:00
08-01-85,0.026578000000000001,7/31/85 10:00
09-01-85,0.02823900000000000,8/31/85 10:00
10-01-85,0.03161400000000000,9/30/85 10:00
11-01-85,0.03322300000000000,10/31/85 10:00
12-01-85,0.03316700000000000,11/30/85 10:00
01-01-86,0.033003000000000,12/31/85 10:00
02-01-86,0.03453900000000000,1/31/86 10:00
03-01-86,0.03442600000000000,2/28/86 10:00
04-01-86,0.02768700000000000,3/31/86 10:00
05-01-86,0.03420200000000000,4/30/86 10:00
06-01-86,0.02912600000000000,5/31/86 10:00
07-01-86,0.033925999999999998,6/30/86 10:00
08-01-86,0.038835000000000001,7/31/86 10:00
09-01-86,0.03715700000000000,8/31/86 10:00
10-01-86,0.037096999999999998,9/30/86 10:00
11-01-86,0.03376200000000000,10/31/86 10:00
12-01-86,0.033708000000000002,11/30/86 10:00
01-01-87,0.03194900000000000,12/31/86 10:00
02-01-87,0.028617000000000000,1/31/87 10:00
03-01-87,0.028525999999999999,2/28/87 10:00
04-01-87,0.03803500000000000,3/31/87 10:00
05-01-87,0.04094500000000000,4/30/87 10:00
06-01-87,0.04717000000000000,5/31/87 10:00
07-01-87,0.0484380,6/30/87 10:00
08-01-87,0.045171000000000003,7/31/87 10:00
09-01-87,0.04205600000000000,8/31/87 10:00
10-01-87,0.041991000000000001,9/30/87 10:00
11-01-87,0.04510100000000000,10/31/87 10:00
12-01-87,0.04503100000000000,11/30/87 10:00
01-01-88,0.04024800000000000,12/31/87 10:00
02-01-88,0.03864000000000000,1/31/88 10:00
03-01-88,0.04314300000000000,2/29/88 10:00
04-01-88,0.03969500000000000,3/31/88 10:00
05-01-88,0.03177000000000000,4/30/88 10:00
06-01-88,0.02252300000000000,5/31/88 10:00
07-01-88,0.019373999999999999,6/30/88 10:00
08-01-88,0.01788400000000000,7/31/88 10:00
09-01-88,0.02242200000000000,8/31/88 10:00
10-01-88,0.020896000000000001,9/30/88 10:00
11-01-88,0.017857000000000001,10/31/88 10:00
12-01-88,0.01337300000000000,11/30/88 10:00
01-01-89,0.020833000000000001,12/31/88 10:00
02-01-89,0.026786000000000001,1/31/89 10:00
03-01-89,0.028065000000000000,2/28/89 10:00
04-01-89,0.023494999999999999,3/31/89 10:00
05-01-89,0.036657000000000002,4/30/89 10:00
06-01-89,0.04552100000000000,5/31/89 10:00
07-01-89,0.04824600000000000,6/30/89 10:00
08-01-89,0.04978000000000000,7/31/89 10:00
09-01-89,0.05263200000000000,8/31/89 10:00
10-01-89,0.05263200000000000,9/30/89 10:00
11-01-89,0.05555600000000000,10/31/89 10:00
12-01-89,0.06304999999999999,11/30/89 10:00
01-01-90,0.06559800000000000,12/31/89 10:00
02-01-90,0.06376800000000001,1/31/90 10:00
03-01-90,0.05747100000000000,2/28/90 10:00
04-01-90,0.06312800000000000,3/31/90 10:00
05-01-90,0.05091900000000000,4/30/90 10:00
06-01-90,0.05056200000000000,5/31/90 10:00
07-01-90,0.0502090000000000,6/30/90 10:00
08-01-90,0.05299900000000000,7/31/90 10:00
09-01-90,0.05277800000000000,8/31/90 10:00
10-01-90,0.06111100000000000,9/30/90 10:00
11-01-90,0.06371200000000000,10/31/90 10:00
12-01-90,0.057931000000000003,11/30/90 10:00
01-01-91,0.07934300000000000,12/31/90 10:00
02-01-91,0.0653950000000000,1/31/91 10:00
03-01-91,0.06793500000000000,2/28/91 10:00
04-01-91,0.06072900000000000,3/31/91 10:00
05-01-91,0.06594899999999999,4/30/91 10:00
06-01-91,0.06283400000000000,5/31/91 10:00
07-01-91,0.06108900000000000,6/30/91 10:00
08-01-91,0.059603000000000003,7/31/91 10:00
09-01-91,0.055409000000000000,8/31/91 10:00
10-01-91,0.04450300000000000,9/30/91 10:00
11-01-91,0.041667000000000003,10/31/91 10:00
12-01-91,0.03781000000000000,11/30/91 10:00
01-01-92,0.011407000000000000,12/31/91 10:00
02-01-92,0.023018000000000000,1/31/92 10:00
03-01-92,0.022901000000000001,2/29/92 10:00
04-01-92,0.021628000000000001,3/31/92 10:00
05-01-92,0.015152000000000001,4/30/92 10:00
06-01-92,0.012579000000000000,5/31/92 10:00
07-01-92,0.011264000000000000,6/30/92 10:00
08-01-92,0.01,7/31/92 10:00
09-01-92,0.01,8/31/92 10:00
10-01-92,0.011278000000000000,9/30/92 10:00
11-01-92,0.015,10/31/92 10:00
12-01-92,0.017587999999999999,11/30/92 10:00
01-01-93,0.018797000000000001,12/31/92 10:00
02-01-93,0.0175,1/31/93 10:00
03-01-93,0,2/28/93 10:00
04-01-93,0.0062270000000000,3/31/93 10:00
05-01-93,0.007463000000000000,4/30/93 10:00
06-01-93,0.009938000000000001,5/31/93 10:00
07-01-93,0.011139000000000000,6/30/93 10:00
08-01-93,0.011139000000000000,7/31/93 10:00
09-01-93,0.012376000000000000,8/31/93 10:00
10-01-93,0.012392000000000000,9/30/93 10:00
11-01-93,0.011084000000000000,10/31/93 10:00
12-01-93,0.013580000000000000,11/30/93 10:00
01-01-94,0.00984000000000000,12/31/93 10:00
02-01-94,0.007371000000000000,1/31/94 10:00
03-01-94,0.017413000000000001,2/28/94 10:00
04-01-94,0.01608900000000000,3/31/94 10:00
05-01-94,0.014815000000000000,4/30/94 10:00
06-01-94,0.013530000000000000,5/31/94 10:00
07-01-94,0.014688000000000000,6/30/94 10:00
08-01-94,0.014688000000000000,7/31/94 10:00
09-01-94,0.018336999999999999,8/31/94 10:00
10-01-94,0.017135999999999998,9/30/94 10:00
11-01-94,0.013398000000000000,10/31/94 10:00
12-01-94,0.018270000000000002,11/30/94 10:00
01-01-95,0.018270000000000002,12/31/94 10:00
02-01-95,0.023171000000000001,1/31/95 10:00
03-01-95,0.028117000000000000,2/28/95 10:00
04-01-95,0.02679700000000000,3/31/95 10:00
05-01-95,0.027980999999999999,4/30/95 10:00
06-01-95,0.023057999999999999,5/31/95 10:00
07-01-95,0.022918999999999998,6/30/95 10:00
08-01-95,0.021713000000000000,7/31/95 10:00
09-01-95,0.01920800000000000,8/31/95 10:00
10-01-95,0.021661000000000000,9/30/95 10:00
11-01-95,0.025239999999999999,10/31/95 10:00
12-01-95,0.01674600000000000,11/30/95 10:00
01-01-96,0.017943000000000001,12/31/95 10:00
02-01-96,0.015495000000000000,1/31/96 10:00
03-01-96,0.020213999999999999,2/29/96 10:00
04-01-96,0.022539000000000000,3/31/96 10:00
05-01-96,0.022485000000000002,4/30/96 10:00
06-01-96,0.022539000000000000,5/31/96 10:00
07-01-96,0.02240600000000000,6/30/96 10:00
08-01-96,0.024792999999999999,7/31/96 10:00
09-01-96,0.024735000000000000,8/31/96 10:00
10-01-96,0.02237900000000000,9/30/96 10:00
11-01-96,0.01993000000000000,10/31/96 10:00
12-01-96,0.024705999999999999,11/30/96 10:00
01-01-97,0.03055200000000000,12/31/96 10:00
02-01-97,0.03169000000000000,1/31/97 10:00
03-01-97,0.026807000000000001,2/28/97 10:00
04-01-97,0.018561000000000001,3/31/97 10:00
05-01-97,0.017361000000000001,4/30/97 10:00
06-01-97,0.024362000000000002,5/31/97 10:00
07-01-97,0.01845400000000000,6/30/97 10:00
08-01-97,0.01728100000000000,7/31/97 10:00
09-01-97,0.016091999999999999,8/31/97 10:00
10-01-97,0.018433000000000001,9/30/97 10:00
11-01-97,0.014943000000000000,10/31/97 10:00
12-01-97,0.013776999999999999,11/30/97 10:00
01-01-98,0.010262000000000000,12/31/97 10:00
02-01-98,0,1/31/98 10:00
03-01-98,0.00340500000000000,2/28/98 10:00
04-01-98,0.011390000000000001,3/31/98 10:00
05-01-98,0.012514000000000001,4/30/98 10:00
06-01-98,0.015855000000000001,5/31/98 10:00
07-01-98,0.015855000000000001,6/30/98 10:00
08-01-98,0.015855000000000001,7/31/98 10:00
09-01-98,0.011311999999999999,8/31/98 10:00
10-01-98,0.012442999999999999,9/30/98 10:00
11-01-98,0.013590000000000000,10/31/98 10:00
12-01-98,0.015855000000000001,11/30/98 10:00
01-01-99,0.014673000000000000,12/31/98 10:00
02-01-99,0.022752999999999999,1/31/99 10:00
03-01-99,0.019231000000000002,2/28/99 10:00
04-01-99,0.016892000000000001,3/31/99 10:00
05-01-99,0.02247200000000000,4/30/99 10:00
06-01-99,0.016722000000000001,5/31/99 10:00
07-01-99,0.0189520000000000,6/30/99 10:00
08-01-99,0.026755999999999999,7/31/99 10:00
09-01-99,0.035793999999999999,8/31/99 10:00
10-01-99,0.035754000000000001,9/30/99 10:00
11-01-99,0.03128500000000000,10/31/99 10:00
12-01-99,0.033445000000000003,11/30/99 10:00
01-01-00,0.027809000000000000,12/31/99 10:00
02-01-00,0.026696000000000001,1/31/00 10:00
03-01-00,0.03551600000000000,2/29/00 10:00
04-01-00,0.03322300000000000,3/31/00 10:00
05-01-00,0.031868000000000000,4/30/00 10:00
06-01-00,0.03399100000000000,5/31/00 10:00
07-01-00,0.04157500000000000,6/30/00 10:00
08-01-00,0.03474500000000000,7/31/00 10:00
09-01-00,0.035637000000000002,8/31/00 10:00
10-01-00,0.03559900000000000,9/30/00 10:00
11-01-00,0.04333700000000000,10/31/00 10:00
12-01-00,0.038835000000000001,11/30/00 10:00
01-01-01,0.010822999999999999,12/31/00 10:00
02-01-01,0.03683600000000000,1/31/01 10:00
03-01-01,0.02465200000000000,2/28/01 10:00
04-01-01,0.02572300000000000,3/31/01 10:00
05-01-01,0.05644300000000000,4/30/01 10:00
06-01-01,0.05514300000000000,5/31/01 10:00
07-01-01,0.028361000000000001,6/30/01 10:00
08-01-01,0.026232999999999999,7/31/01 10:00
09-01-01,0.028153999999999998,8/31/01 10:00
10-01-01,0.014583000000000000,9/30/01 10:00
11-01-01,-0.024922000000000000,10/31/01 10:00
12-01-01,-0.009346000000000000,11/30/01 10:00
01-01-02,0.035332000000000002,12/31/01 10:00
02-01-02,0.01567400000000000,1/31/02 10:00
03-01-02,0.0198740000000000,2/28/02 10:00
04-01-02,0.034483000000000000,3/31/02 10:00
05-01-02,0.0020160000000000000,4/30/02 10:00
06-01-02,0.004020000000000000,5/31/02 10:00
07-01-02,0.020428999999999999,6/30/02 10:00
08-01-02,0.023517000000000000,7/31/02 10:00
09-01-02,0.028398000000000000,8/31/02 10:00
10-01-02,0.052360999999999998,9/30/02 10:00
11-01-02,0.09691200000000000,10/31/02 10:00
12-01-02,0.08280899999999999,11/30/02 10:00
01-01-03,0.0703210000000000,12/31/02 10:00
02-01-03,0.06790100000000000,1/31/03 10:00
03-01-03,0.0758970000000000,2/28/03 10:00
04-01-03,0.0595960000000000,3/31/03 10:00
05-01-03,0.0482900000000000,4/30/03 10:00
06-01-03,0.04804800000000000,5/31/03 10:00
07-01-03,0.044044000000000000,6/30/03 10:00
08-01-03,0.04095900000000000,7/31/03 10:00
09-01-03,0.03353100000000000,8/31/03 10:00
10-01-03,0.0175610000000000,9/30/03 10:00
11-01-03,0.01650500000000000,10/31/03 10:00
12-01-03,0.012585000000000001,11/30/03 10:00
01-01-04,0.010628000000000000,12/31/03 10:00
02-01-04,0.007707000000000000,1/31/04 10:00
03-01-04,0,2/29/04 10:00
04-01-04,0.002860000000000000,3/31/04 10:00
05-01-04,0.018234000000000000,4/30/04 10:00
06-01-04,0.022922999999999999,5/31/04 10:00
07-01-04,0.020133999999999999,6/30/04 10:00
08-01-04,0.019193999999999999,7/31/04 10:00
09-01-04,0.01431300000000000,8/31/04 10:00
10-01-04,0.016299000000000001,9/30/04 10:00
11-01-04,0.019102000000000001,10/31/04 10:00
12-01-04,0.017208000000000001,11/30/04 10:00
01-01-05,0.014340000000000000,12/31/04 10:00
02-01-05,0.015296000000000001,1/31/05 10:00
03-01-05,0.019066000000000000,2/28/05 10:00
04-01-05,0.022814000000000001,3/31/05 10:00
05-01-05,0.012253000000000000,4/30/05 10:00
06-01-05,0.006536000000000000,5/31/05 10:00
07-01-05,0.021617000000000001,6/30/05 10:00
08-01-05,0.023539999999999998,7/31/05 10:00
09-01-05,0.034806999999999998,8/31/05 10:00
10-01-05,0.03490600000000000,9/30/05 10:00
11-01-05,0.02717900000000000,10/31/05 10:00
12-01-05,0.02443600000000000,11/30/05 10:00
01-01-06,0.04052800000000000,12/31/05 10:00
02-01-06,0.03295700000000000,1/31/06 10:00
03-01-06,0.031805000000000000,2/28/06 10:00
04-01-06,0.03531600000000000,3/31/06 10:00
05-01-06,0.0446930000000000,4/30/06 10:00
06-01-06,0.03710600000000000,5/31/06 10:00
07-01-06,0.04323800000000000,6/30/06 10:00
08-01-06,0.04783800000000000,7/31/06 10:00
09-01-06,0.03727300000000000,8/31/06 10:00
10-01-06,0.0300820000000000,9/30/06 10:00
11-01-06,0.037408999999999998,10/31/06 10:00
12-01-06,0.047705999999999998,11/30/06 10:00
01-01-07,0.03894900000000000,12/31/06 10:00
02-01-07,0.04831400000000000,1/31/07 10:00
03-01-07,0.05530400000000000,2/28/07 10:00
04-01-07,0.05475800000000000,3/31/07 10:00
05-01-07,0.049910999999999997,4/30/07 10:00
06-01-07,0.0626120000000000,5/31/07 10:00
07-01-07,0.05026500000000000,6/30/07 10:00
08-01-07,0.04741000000000000,7/31/07 10:00
09-01-07,0.04645000000000000,8/31/07 10:00
10-01-07,0.049557999999999998,9/30/07 10:00
11-01-07,0.047493000000000000,10/31/07 10:00
12-01-07,0.04115600000000000,11/30/07 10:00
01-01-08,0.03574500000000000,12/31/07 10:00
02-01-08,0.034783000000000001,1/31/08 10:00
03-01-08,0.029210000000000000,2/29/08 10:00
04-01-08,0.03234000000000000,3/31/08 10:00
05-01-08,0.03735100000000000,4/30/08 10:00
06-01-08,0.04377100000000000,5/31/08 10:00
07-01-08,0.03526400000000000,6/30/08 10:00
08-01-08,0.040235000000000000,7/31/08 10:00
09-01-08,0.02847600000000000,8/31/08 10:00
10-01-08,0.024452000000000002,9/30/08 10:00
11-01-08,0.020990999999999999,10/31/08 10:00
12-01-08,0.01934400000000000,11/30/08 10:00
01-01-09,0.011785000000000000,12/31/08 10:00
02-01-09,0.02100800000000000,1/31/09 10:00
03-01-09,0.009181999999999999,2/28/09 10:00
04-01-09,-0.00742000000000000,3/31/09 10:00
05-01-09,-0.006547000000000000,4/30/09 10:00
06-01-09,-0.016129000000000001,5/31/09 10:00
07-01-09,-0.014599000000000001,6/30/09 10:00
08-01-09,-0.016922000000000000,7/31/09 10:00
09-01-09,-0.010586000000000000,8/31/09 10:00
10-01-09,0.0008229999999999999,9/30/09 10:00
11-01-09,0.008224000000000000,10/31/09 10:00
12-01-09,0.005776000000000000,11/30/09 10:00
01-01-10,0.01747100000000000,12/31/09 10:00
02-01-10,0.009877000000000000,1/31/10 10:00
03-01-10,0.009926000000000001,2/28/10 10:00
04-01-10,0.015781000000000000,3/31/10 10:00
05-01-10,0.01070800000000000,4/30/10 10:00
06-01-10,0.005738000000000000,5/31/10 10:00
07-01-10,0.014815000000000000,6/30/10 10:00
08-01-10,0.005738000000000000,7/31/10 10:00
09-01-10,0.00905300000000000,8/31/10 10:00
10-01-10,0.011513000000000001,9/30/10 10:00
11-01-10,0.0008160000000000000,10/31/10 10:00
12-01-10,0.008203000000000000,11/30/10 10:00
01-01-11,0.009812000000000000,12/31/10 10:00
02-01-11,0.012225000000000000,1/31/11 10:00
03-01-11,0.019656000000000000,2/28/11 10:00
04-01-11,0.03025300000000000,3/31/11 10:00
05-01-11,0.027709999999999999,4/30/11 10:00
06-01-11,0.021190000000000001,5/31/11 10:00
07-01-11,0.019465000000000000,6/30/11 10:00
08-01-11,0.029340000000000001,7/31/11 10:00
