Date,Value,labels
01-01-07,8312276.6,12/31/06 10:00
02-01-07,7865487,1/31/07 10:00
03-01-07,8785947.3,2/28/07 10:00
04-01-07,8030452.2,3/31/07 10:00
05-01-07,8075145.4,4/30/07 10:00
06-01-07,7609870.7,5/31/07 10:00
07-01-07,8485180.7,6/30/07 10:00
08-01-07,9188253.8,7/31/07 10:00
09-01-07,8501054.6,8/31/07 10:00
10-01-07,8921739.5,9/30/07 10:00
11-01-07,8481796.9,10/31/07 10:00
12-01-07,8021151.9,11/30/07 10:00
01-01-08,8480339.4,12/31/07 10:00
02-01-08,7758581.2,1/31/08 10:00
03-01-08,8512679,2/29/08 10:00
04-01-08,7903152.3,3/31/08 10:00
05-01-08,7718077.6,4/30/08 10:00
06-01-08,7992482,5/31/08 10:00
07-01-08,8762903.9,6/30/08 10:00
08-01-08,8893836.8,7/31/08 10:00
09-01-08,8237595.9,8/31/08 10:00
10-01-08,8576642.6,9/30/08 10:00
11-01-08,8607430.8,10/31/08 10:00
12-01-08,8721876.8,11/30/08 10:00
01-01-09,8615211.5,12/31/08 10:00
02-01-09,8122113.5,1/31/09 10:00
03-01-09,8627655.6,2/28/09 10:00
04-01-09,7943344.6,3/31/09 10:00
05-01-09,8480455.5,4/30/09 10:00
06-01-09,8708502.3,5/31/09 10:00
07-01-09,9376165.2,6/30/09 10:00
08-01-09,9168735.4,7/31/09 10:00
09-01-09,8627569.1,8/31/09 10:00
10-01-09,9236907.8,9/30/09 10:00
11-01-09,9258163,10/31/09 10:00
12-01-09,8819844.6,11/30/09 10:00
01-01-10,8246703.5,12/31/09 10:00
02-01-10,8347509.7,1/31/10 10:00
03-01-10,9276472,2/28/10 10:00
04-01-10,8946908.5,3/31/10 10:00
05-01-10,9632583.9,4/30/10 10:00
06-01-10,9533384.2,5/31/10 10:00
07-01-10,9858765.2,6/30/10 10:00
08-01-10,9796212.7,7/31/10 10:00
09-01-10,8842852.9,8/31/10 10:00
10-01-10,9529003,9/30/10 10:00
11-01-10,10065848,10/31/10 10:00
12-01-10,10629248.8,11/30/10 10:00
01-01-11,10124553.8,12/31/10 10:00
02-01-11,9336607.2,1/31/11 10:00
03-01-11,10162448.8,2/28/11 10:00
04-01-11,9841120,3/31/11 10:00
05-01-11,8894393.1,4/30/11 10:00
06-01-11,9467866.8,5/31/11 10:00
07-01-11,10678016.4,6/30/11 10:00
08-01-11,11206204.4,7/31/11 10:00
09-01-11,10475752.6,8/31/11 10:00
10-01-11,11095033.5,9/30/11 10:00
11-01-11,10613176.1,10/31/11 10:00
12-01-11,11490997.4,11/30/11 10:00
01-01-12,11513451.4,12/31/11 10:00
02-01-12,10576429.5,1/31/12 10:00
03-01-12,10837999.7,2/29/12 10:00
04-01-12,10951182.1,3/31/12 10:00
05-01-12,11236281.5,4/30/12 10:00
06-01-12,10956109.2,5/31/12 10:00
07-01-12,12013386.7,6/30/12 10:00
08-01-12,11943695.9,7/31/12 10:00
09-01-12,11207073.6,8/31/12 10:00
10-01-12,11896453.2,9/30/12 10:00
11-01-12,11631158.4,10/31/12 10:00
12-01-12,12854313.1,11/30/12 10:00
01-01-13,12465288,12/31/12 10:00
02-01-13,11313128.9,1/31/13 10:00
03-01-13,12691833.2,2/28/13 10:00
04-01-13,11587352,3/31/13 10:00
05-01-13,10938923.1,4/30/13 10:00
06-01-13,11425895.4,5/31/13 10:00
07-01-13,12330313.7,6/30/13 10:00
