Time,Value,labels
1976/01/01,4.3,12/31/75 10:00
1976/02/01,3.7,1/31/76 10:00
1976/03/01,3.8,2/29/76 10:00
1976/04/01,3.5,3/31/76 10:00
1976/05/01,4.2,4/30/76 10:00
1976/06/01,3.8,5/31/76 10:00
1976/07/01,3.7,6/30/76 10:00
1976/08/01,3.7,7/31/76 10:00
1976/09/01,3.8,8/31/76 10:00
1976/10/01,4,9/30/76 10:00
1976/11/01,4,10/31/76 10:00
1976/12/01,4.2,11/30/76 10:00
1977/01/01,4.6,12/31/76 10:00
1977/02/01,4.3,1/31/77 10:00
1977/03/01,4.6,2/28/77 10:00
1977/04/01,4,3/31/77 10:00
1977/05/01,4.5,4/30/77 10:00
1977/06/01,4.1,5/31/77 10:00
1977/07/01,4.3,6/30/77 10:00
1977/08/01,4.3,7/31/77 10:00
1977/09/01,4.5,8/31/77 10:00
1977/10/01,4.6,9/30/77 10:00
1977/11/01,5,10/31/77 10:00
1977/12/01,4.9,11/30/77 10:00
1978/01/01,4.7,12/31/77 10:00
1978/02/01,5,1/31/78 10:00
1978/03/01,4.9,2/28/78 10:00
1978/04/01,4.7,3/31/78 10:00
1978/05/01,4.7,4/30/78 10:00
1978/06/01,4.7,5/31/78 10:00
1978/07/01,4.6,6/30/78 10:00
1978/08/01,4.8,7/31/78 10:00
1978/09/01,5.1,8/31/78 10:00
1978/10/01,4.9,9/30/78 10:00
1978/11/01,4.6,10/31/78 10:00
1978/12/01,4.3,11/30/78 10:00
1979/01/01,4.1,12/31/78 10:00
1979/02/01,4.4,1/31/79 10:00
1979/03/01,3.9,2/28/79 10:00
1979/04/01,4.4,3/31/79 10:00
1979/05/01,4,4/30/79 10:00
1979/06/01,4,5/31/79 10:00
1979/07/01,3.8,6/30/79 10:00
1979/08/01,3.8,7/31/79 10:00
1979/09/01,3.8,8/31/79 10:00
1979/10/01,3.7,9/30/79 10:00
1979/11/01,3.8,10/31/79 10:00
1979/12/01,3.9,11/30/79 10:00
1980/01/01,4.2,12/31/79 10:00
1980/02/01,4.1,1/31/80 10:00
1980/03/01,3.8,2/29/80 10:00
1980/04/01,3.8,3/31/80 10:00
1980/05/01,3.8,4/30/80 10:00
1980/06/01,4,5/31/80 10:00
1980/07/01,3.8,6/30/80 10:00
1980/08/01,4,7/31/80 10:00
1980/09/01,3.7,8/31/80 10:00
1980/10/01,3.7,9/30/80 10:00
1980/11/01,3.7,10/31/80 10:00
1980/12/01,3.8,11/30/80 10:00
1981/01/01,4,12/31/80 10:00
1981/02/01,4.1,1/31/81 10:00
1981/03/01,4.1,2/28/81 10:00
1981/04/01,3.6,3/31/81 10:00
1981/05/01,3.4,4/30/81 10:00
1981/06/01,3.3,5/31/81 10:00
1981/07/01,3.4,6/30/81 10:00
1981/08/01,3.3,7/31/81 10:00
1981/09/01,3.7,8/31/81 10:00
1981/10/01,4.2,9/30/81 10:00
1981/11/01,4.9,10/31/81 10:00
1981/12/01,4.6,11/30/81 10:00
1982/01/01,5.2,12/31/81 10:00
1982/02/01,5.1,1/31/82 10:00
1982/03/01,5.7,2/28/82 10:00
1982/04/01,6.5,3/31/82 10:00
1982/05/01,7.1,4/30/82 10:00
1982/06/01,7.8,5/31/82 10:00
1982/07/01,8.3,6/30/82 10:00
1982/08/01,8.1,7/31/82 10:00
1982/09/01,9.3,8/31/82 10:00
1982/10/01,9.6,9/30/82 10:00
1982/11/01,10,10/31/82 10:00
1982/12/01,10.3,11/30/82 10:00
1983/01/01,10.6,12/31/82 10:00
1983/02/01,10.9,1/31/83 10:00
1983/03/01,11.2,2/28/83 10:00
1983/04/01,10.9,3/31/83 10:00
1983/05/01,11.3,4/30/83 10:00
1983/06/01,11.4,5/31/83 10:00
1983/07/01,11.5,6/30/83 10:00
1983/08/01,11,7/31/83 10:00
1983/09/01,10.9,8/31/83 10:00
1983/10/01,10.6,9/30/83 10:00
1983/11/01,10.6,10/31/83 10:00
1983/12/01,11.2,11/30/83 10:00
1984/01/01,10.9,12/31/83 10:00
1984/02/01,10.5,1/31/84 10:00
1984/03/01,11.3,2/29/84 10:00
1984/04/01,11.2,3/31/84 10:00
1984/05/01,12,4/30/84 10:00
1984/06/01,11.6,5/31/84 10:00
1984/07/01,11.4,6/30/84 10:00
1984/08/01,11.4,7/31/84 10:00
1984/09/01,12.4,8/31/84 10:00
1984/10/01,11.5,9/30/84 10:00
1984/11/01,11.4,10/31/84 10:00
1984/12/01,11.3,11/30/84 10:00
1985/01/01,10.2,12/31/84 10:00
1985/02/01,10.7,1/31/85 10:00
1985/03/01,10.5,2/28/85 10:00
1985/04/01,10.2,3/31/85 10:00
1985/05/01,10.1,4/30/85 10:00
1985/06/01,9.6,5/31/85 10:00
1985/07/01,9.4,6/30/85 10:00
1985/08/01,9.4,7/31/85 10:00
1985/09/01,9.2,8/31/85 10:00
1985/10/01,9.3,9/30/85 10:00
1985/11/01,9.6,10/31/85 10:00
1985/12/01,9.1,11/30/85 10:00
1986/01/01,8.6,12/31/85 10:00
1986/02/01,8.6,1/31/86 10:00
