Period,Year,Month,Oil Type,Volume (m3/d),Volume (bbl/d)
06-01-85,1985,June,Light,28019.093333,176320.147616
06-01-85,1985,June,Medium,14596.950000,91856.518986
06-01-85,1985,June,Heavy,22124.423333,139225.832244
06-01-85,1985,June,Total,64740.466666,407402.498847
07-01-85,1985,July,Light,25181.764516,158465.243108
07-01-85,1985,July,Medium,12667.226451,79713.044647
07-01-85,1985,July,Heavy,20639.435483,129881.016061
07-01-85,1985,July,Total,58488.426451,368059.303815
08-01-85,1985,August,Light,31195.951612,196311.662479
08-01-85,1985,August,Medium,13946.651612,87764.284229
08-01-85,1985,August,Heavy,17240.583870,108492.528897
08-01-85,1985,August,Total,62383.187096,392568.475604
09-01-85,1985,September,Light,41596.321333,261759.701877
09-01-85,1985,September,Medium,18018.463333,113387.613116
09-01-85,1985,September,Heavy,25019.556666,157444.492307
09-01-85,1985,September,Total,84634.341333,532591.807300
10-01-85,1985,October,Light,35071.761290,220701.578538
10-01-85,1985,October,Medium,15736.416129,99027.016392
10-01-85,1985,October,Heavy,28400.754838,178721.888892
10-01-85,1985,October,Total,79208.932258,498450.483823
11-01-85,1985,November,Light,25616.566666,161201.390864
11-01-85,1985,November,Medium,16315.653333,102672.073288
11-01-85,1985,November,Heavy,34908.580000,219674.702013
11-01-85,1985,November,Total,76840.800000,483548.166166
12-01-85,1985,December,Light,36205.298258,227834.764580
12-01-85,1985,December,Medium,14527.932258,91422.200206
12-01-85,1985,December,Heavy,35328.425806,222316.731635
12-01-85,1985,December,Total,86061.656322,541573.696421
01-01-86,1986,January,Light,31213.480645,196421.970172
01-01-86,1986,January,Medium,14442.509677,90884.648121
01-01-86,1986,January,Heavy,37515.690322,236080.874456
01-01-86,1986,January,Total,83171.680645,523387.492750
02-01-86,1986,February,Light,30106.250000,189454.326056
02-01-86,1986,February,Medium,15673.025000,98628.105082
02-01-86,1986,February,Heavy,32747.564285,206075.739148
02-01-86,1986,February,Total,78526.839285,494158.170287
03-01-86,1986,March,Light,35863.009677,225680.791490
03-01-86,1986,March,Medium,14902.635483,93780.154023
03-01-86,1986,March,Heavy,33236.358064,209151.648501
03-01-86,1986,March,Total,84002.003225,528612.594014
04-01-86,1986,April,Light,56339.746666,354537.969190
04-01-86,1986,April,Medium,21227.623333,133582.398087
04-01-86,1986,April,Heavy,26464.280000,166535.929648
04-01-86,1986,April,Total,104031.650000,654656.296924
05-01-86,1986,May,Light,50832.661290,319882.668429
05-01-86,1986,May,Medium,20730.032258,130451.128605
05-01-86,1986,May,Heavy,32784.851612,206310.382966
05-01-86,1986,May,Total,104347.545161,656644.180001
06-01-86,1986,June,Light,42486.416666,267360.944526
06-01-86,1986,June,Medium,16698.966666,105084.209281
06-01-86,1986,June,Heavy,31490.193333,198163.283549
06-01-86,1986,June,Total,90675.576666,570608.437356
07-01-86,1986,July,Light,40932.441935,257582.003761
